condition,affordance_class,base_rate,ablation_rate,delta,base_count,ablation_count,base_documents,ablation_documents
steer_alpha_0p77,text_memory,0.3333333333333333,1.0,0.6666666666666667,1,1,3,1
steer_alpha_0p82,organic_expansion,0.6666666666666666,0.0,-0.6666666666666666,2,0,3,0
steer_alpha_0p82,optical_memory,0.6666666666666666,0.0,-0.6666666666666666,2,0,3,0
steer_alpha_0p77,optical_memory,0.6666666666666666,0.0,-0.6666666666666666,2,0,3,1
steer_alpha_0p82,threshold_container,0.3333333333333333,0.0,-0.3333333333333333,1,0,3,0
steer_alpha_0p82,animating_mediator,0.3333333333333333,0.0,-0.3333333333333333,1,0,3,0
steer_alpha_0p77,animating_mediator,0.3333333333333333,0.0,-0.3333333333333333,1,0,3,1
selector_alpha_0,organic_expansion,0.14285714285714285,0.0,-0.14285714285714285,1,0,7,5
selector_alpha_0,optical_memory,0.14285714285714285,0.0,-0.14285714285714285,1,0,7,5
selector_alpha_0,animating_mediator,0.14285714285714285,0.2,0.05714285714285716,1,1,7,5
selector_alpha_0,text_memory,0.5714285714285714,0.6,0.02857142857142858,4,3,7,5
selector_alpha_0,threshold_container,0.42857142857142855,0.4,-0.028571428571428525,3,2,7,5
steer_alpha_0p82,time_mechanism,0.0,0.0,0.0,0,0,3,0
steer_alpha_0p82,text_memory,0.0,0.0,0.0,0,0,3,0
steer_alpha_0p82,canonical_stock_hub,0.0,0.0,0.0,0,0,3,0
steer_alpha_0p82,acoustic_mechanism,0.0,0.0,0.0,0,0,3,0
steer_alpha_0p77,time_mechanism,0.0,0.0,0.0,0,0,3,1
steer_alpha_0p77,threshold_container,0.0,0.0,0.0,0,0,3,1
steer_alpha_0p77,organic_expansion,0.0,0.0,0.0,0,0,3,1
steer_alpha_0p77,canonical_stock_hub,0.0,0.0,0.0,0,0,3,1
steer_alpha_0p77,acoustic_mechanism,0.0,0.0,0.0,0,0,3,1
selector_alpha_0,time_mechanism,0.0,0.0,0.0,0,0,7,5
selector_alpha_0,canonical_stock_hub,0.0,0.0,0.0,0,0,7,5
selector_alpha_0,acoustic_mechanism,0.0,0.0,0.0,0,0,7,5
