condition,affordance_class,base_rate,ablation_rate,delta,base_count,ablation_count,base_documents,ablation_documents
steer_alpha_0p66,canonical_stock_hub,1.0,0.0,-1.0,4,0,4,0
steer_alpha_0p82,canonical_stock_hub,0.8571428571428571,0.0,-0.8571428571428571,6,0,7,3
steer_alpha_0p77,canonical_stock_hub,0.8461538461538461,0.0,-0.8461538461538461,11,0,13,3
steer_alpha_0p77,acoustic_mechanism,0.7692307692307693,0.0,-0.7692307692307693,10,0,13,3
steer_alpha_0p66,threshold_container,0.75,0.0,-0.75,3,0,4,0
steer_alpha_0p66,text_memory,0.75,0.0,-0.75,3,0,4,0
steer_alpha_0p82,optical_memory,0.0,0.6666666666666666,0.6666666666666666,0,2,7,3
steer_alpha_0p82,acoustic_mechanism,0.5714285714285714,0.0,-0.5714285714285714,4,0,7,3
steer_alpha_0p66,organic_expansion,0.5,0.0,-0.5,2,0,4,0
steer_alpha_0p77,organic_expansion,0.46153846153846156,0.0,-0.46153846153846156,6,0,13,3
steer_alpha_0p77,optical_memory,0.23076923076923078,0.6666666666666666,0.43589743589743585,3,2,13,3
steer_alpha_0p82,text_memory,0.42857142857142855,0.0,-0.42857142857142855,3,0,7,3
steer_alpha_0p77,threshold_container,0.38461538461538464,0.0,-0.38461538461538464,5,0,13,3
steer_alpha_0p66,time_mechanism,0.25,0.0,-0.25,1,0,4,0
steer_alpha_0p66,animating_mediator,0.25,0.0,-0.25,1,0,4,0
steer_alpha_0p66,acoustic_mechanism,0.25,0.0,-0.25,1,0,4,0
steer_alpha_0p82,organic_expansion,0.42857142857142855,0.6666666666666666,0.23809523809523808,3,2,7,3
selector_alpha_0,text_memory,0.3333333333333333,0.5714285714285714,0.23809523809523808,1,4,3,7
selector_alpha_0,optical_memory,0.3333333333333333,0.14285714285714285,-0.19047619047619047,1,1,3,7
selector_alpha_0,animating_mediator,0.3333333333333333,0.14285714285714285,-0.19047619047619047,1,1,3,7
steer_alpha_0p82,time_mechanism,0.14285714285714285,0.0,-0.14285714285714285,1,0,7,3
selector_alpha_0,organic_expansion,0.0,0.14285714285714285,0.14285714285714285,0,1,3,7
steer_alpha_0p77,text_memory,0.46153846153846156,0.3333333333333333,-0.12820512820512825,6,1,13,3
steer_alpha_0p77,animating_mediator,0.46153846153846156,0.3333333333333333,-0.12820512820512825,6,1,13,3
steer_alpha_0p82,threshold_container,0.42857142857142855,0.3333333333333333,-0.09523809523809523,3,1,7,3
steer_alpha_0p82,animating_mediator,0.42857142857142855,0.3333333333333333,-0.09523809523809523,3,1,7,3
selector_alpha_0,threshold_container,0.3333333333333333,0.42857142857142855,0.09523809523809523,1,3,3,7
steer_alpha_0p77,time_mechanism,0.07692307692307693,0.0,-0.07692307692307693,1,0,13,3
steer_alpha_0p66,optical_memory,0.0,0.0,0.0,0,0,4,0
selector_alpha_0,time_mechanism,0.0,0.0,0.0,0,0,3,7
selector_alpha_0,canonical_stock_hub,0.0,0.0,0.0,0,0,3,7
selector_alpha_0,acoustic_mechanism,0.0,0.0,0.0,0,0,3,7
