condition,affordance_class,base_rate,ablation_rate,delta,base_count,ablation_count,base_documents,ablation_documents
steer_alpha_0p66,organic_expansion,0.0,1.0,1.0,0,1,0,1
steer_alpha_0p66,optical_memory,0.0,1.0,1.0,0,1,0,1
steer_alpha_0p66,acoustic_mechanism,0.0,1.0,1.0,0,1,0,1
steer_alpha_0p77,canonical_stock_hub,0.75,0.0,-0.75,3,0,4,0
steer_alpha_0p77,acoustic_mechanism,0.75,0.0,-0.75,3,0,4,0
steer_alpha_0p82,text_memory,0.6666666666666666,0.0,-0.6666666666666666,2,0,3,0
steer_alpha_0p82,organic_expansion,0.6666666666666666,0.0,-0.6666666666666666,2,0,3,0
steer_alpha_0p82,canonical_stock_hub,0.6666666666666666,0.0,-0.6666666666666666,2,0,3,0
steer_alpha_0p82,animating_mediator,0.6666666666666666,0.0,-0.6666666666666666,2,0,3,0
steer_alpha_0p82,acoustic_mechanism,0.6666666666666666,0.0,-0.6666666666666666,2,0,3,0
steer_alpha_0p77,threshold_container,0.5,0.0,-0.5,2,0,4,0
steer_alpha_0p77,text_memory,0.5,0.0,-0.5,2,0,4,0
steer_alpha_0p77,organic_expansion,0.5,0.0,-0.5,2,0,4,0
steer_alpha_0p82,threshold_container,0.3333333333333333,0.0,-0.3333333333333333,1,0,3,0
steer_alpha_0p77,animating_mediator,0.25,0.0,-0.25,1,0,4,0
steer_alpha_0p82,time_mechanism,0.0,0.0,0.0,0,0,3,0
steer_alpha_0p82,optical_memory,0.0,0.0,0.0,0,0,3,0
steer_alpha_0p77,time_mechanism,0.0,0.0,0.0,0,0,4,0
steer_alpha_0p77,optical_memory,0.0,0.0,0.0,0,0,4,0
steer_alpha_0p66,time_mechanism,0.0,0.0,0.0,0,0,0,1
steer_alpha_0p66,threshold_container,0.0,0.0,0.0,0,0,0,1
steer_alpha_0p66,text_memory,0.0,0.0,0.0,0,0,0,1
steer_alpha_0p66,canonical_stock_hub,0.0,0.0,0.0,0,0,0,1
steer_alpha_0p66,animating_mediator,0.0,0.0,0.0,0,0,0,1
