condition,affordance_class,base_rate,ablation_rate,delta,base_count,ablation_count,base_documents,ablation_documents
steer_alpha_0p66,canonical_stock_hub,1.0,0.0,-1.0,4,0,4,12
steer_alpha_0p82,canonical_stock_hub,0.8571428571428571,0.1111111111111111,-0.746031746031746,6,1,7,9
steer_alpha_0p66,text_memory,0.75,0.08333333333333333,-0.6666666666666666,3,1,4,12
steer_alpha_0p77,canonical_stock_hub,0.8461538461538461,0.2,-0.6461538461538461,11,2,13,10
steer_alpha_0p82,acoustic_mechanism,0.5714285714285714,0.1111111111111111,-0.4603174603174603,4,1,7,9
steer_alpha_0p82,optical_memory,0.0,0.4444444444444444,0.4444444444444444,0,4,7,9
steer_alpha_0p66,optical_memory,0.0,0.4166666666666667,0.4166666666666667,0,5,4,12
selector_alpha_0,text_memory,0.3333333333333333,0.75,0.4166666666666667,1,3,3,4
steer_alpha_0p77,acoustic_mechanism,0.7692307692307693,0.4,-0.36923076923076925,10,4,13,10
steer_alpha_0p66,threshold_container,0.75,0.4166666666666667,-0.3333333333333333,3,5,4,12
selector_alpha_0,threshold_container,0.3333333333333333,0.0,-0.3333333333333333,1,0,3,4
selector_alpha_0,optical_memory,0.3333333333333333,0.0,-0.3333333333333333,1,0,3,4
selector_alpha_0,animating_mediator,0.3333333333333333,0.0,-0.3333333333333333,1,0,3,4
steer_alpha_0p77,animating_mediator,0.46153846153846156,0.2,-0.26153846153846155,6,2,13,10
steer_alpha_0p66,acoustic_mechanism,0.25,0.5,0.25,1,6,4,12
selector_alpha_0,organic_expansion,0.0,0.25,0.25,0,1,3,4
selector_alpha_0,acoustic_mechanism,0.0,0.25,0.25,0,1,3,4
steer_alpha_0p82,organic_expansion,0.42857142857142855,0.6666666666666666,0.23809523809523808,3,6,7,9
steer_alpha_0p82,text_memory,0.42857142857142855,0.2222222222222222,-0.20634920634920634,3,2,7,9
steer_alpha_0p77,threshold_container,0.38461538461538464,0.2,-0.18461538461538463,5,2,13,10
steer_alpha_0p82,time_mechanism,0.14285714285714285,0.0,-0.14285714285714285,1,0,7,9
steer_alpha_0p82,animating_mediator,0.42857142857142855,0.5555555555555556,0.12698412698412703,3,5,7,9
steer_alpha_0p66,time_mechanism,0.25,0.16666666666666666,-0.08333333333333334,1,2,4,12
steer_alpha_0p66,animating_mediator,0.25,0.3333333333333333,0.08333333333333331,1,4,4,12
steer_alpha_0p77,time_mechanism,0.07692307692307693,0.0,-0.07692307692307693,1,0,13,10
steer_alpha_0p77,text_memory,0.46153846153846156,0.4,-0.06153846153846154,6,4,13,10
steer_alpha_0p77,organic_expansion,0.46153846153846156,0.4,-0.06153846153846154,6,4,13,10
steer_alpha_0p77,optical_memory,0.23076923076923078,0.2,-0.03076923076923077,3,2,13,10
steer_alpha_0p82,threshold_container,0.42857142857142855,0.4444444444444444,0.015873015873015872,3,4,7,9
steer_alpha_0p66,organic_expansion,0.5,0.5,0.0,2,6,4,12
selector_alpha_0,time_mechanism,0.0,0.0,0.0,0,0,3,4
selector_alpha_0,canonical_stock_hub,0.0,0.0,0.0,0,0,3,4
