condition,prompt_mode,alpha,seed_count,candidate_count,candidate_fraction,minimum_anchor_coverage,anchor_phrase_coverage,ontology_collapse_density,syntax_readability_proxy,readable_ontology_frontier,traceable_transport_score,surface_style_pressure,decoration_without_transport,cliche_attractor_score,fantasy_prop_score,semantic_loop_pressure,unbridged_novelty,object_budget_pressure,unfinished,decorative_near_miss_rate,stable_rate,readable_transport_rate,failure_rate,mixed_rate,anchor_full_rate,anchor_traceable_rate
endpoint,operational,0.0,4,16,1.0,0.0,0.875,0.0643148501162206,0.6601913322394601,0.020807519429169603,0.048955149415722134,0.0,0.0,0.041666666666666664,0.025,0.1887821396668032,0.7419126259673092,1.0,0.0,0.0,0.6875,0.0625,0.25,0.0,0.625,0.875
endpoint,operational,0.3,4,16,1.0,0.0,0.953125,0.029153439153439153,0.6688599365932008,0.009426017779967648,0.06457235255760659,0.041666666666666664,0.027029880246642185,0.020833333333333332,0.0,0.12540600298823984,0.664280161447244,0.982421875,0.0,0.125,0.8125,0.0625,0.0,0.0,0.8125,1.0
endpoint,operational,0.6,4,16,1.0,0.0,0.84375,0.12827433272745775,0.6963613993923974,0.044287635756275916,0.06888042099181615,0.10416666666666666,0.04945905359326002,0.08333333333333333,0.0734375,0.12458183289784953,0.7119950413875487,0.9365885416666667,0.0,0.125,0.5,0.25,0.125,0.0,0.5,0.875
endpoint,operational,0.9,4,16,1.0,0.0,0.90625,0.22746377769404086,0.6968137646258545,0.08386410049428315,0.06103508244919184,0.125,0.0752993263046215,0.20833333333333331,0.159375,0.12319756943692703,0.6797971500420382,0.9822916666666667,0.0,0.25,0.25,0.25,0.25,0.0,0.625,1.0
endpoint,operational,1.2,4,16,1.0,0.0,0.828125,0.19545664983164984,0.673490577235279,0.057595552621501483,0.050263258523650406,0.10416666666666666,0.050996096351404153,0.2708333333333333,0.203125,0.1373695853595107,0.7500124895232015,1.0,0.15000000000000002,0.0,0.125,0.0625,0.8125,0.0,0.625,0.75
transition,operational,0.0,4,16,1.0,0.0,0.875,0.0643148501162206,0.6601913322394601,0.020807519429169603,0.048955149415722134,0.0,0.0,0.041666666666666664,0.025,0.1887821396668032,0.7419126259673092,1.0,0.0,0.0,0.6875,0.0625,0.25,0.0,0.625,0.875
transition,operational,0.3,4,16,1.0,0.0,0.78125,0.01482473544973545,0.6699572752183673,0.004887356044168675,0.053620626802343176,0.020833333333333332,0.012834192103803039,0.041666666666666664,0.025,0.10399194622380409,0.7479768720509624,1.0,0.0,0.0625,0.6875,0.0,0.25,0.0,0.5,0.75
transition,operational,0.6,4,16,1.0,0.0,0.671875,0.07904761904761906,0.6685463366268627,0.026884528100080934,0.05632310884447185,0.020833333333333332,0.01330035875489695,0.10416666666666666,0.0453125,0.06604119158907942,0.7760384343599296,0.9859375,0.0,0.0625,0.375,0.0625,0.5,0.0,0.3125,0.5625
transition,operational,0.9,4,16,1.0,0.0,0.421875,0.0502889384920635,0.6670896223789159,0.015346103766365358,0.05905429290382441,0.0625,0.01786756808519735,0.08333333333333333,0.1109375,0.030221667520054618,0.8175783869553219,0.9609375,0.05,0.0625,0.1875,0.0625,0.6875,0.0,0.0625,0.3125
transition,operational,1.2,4,16,1.0,0.0,0.25,0.051319444444444445,0.67883621425048,0.008977101330253175,0.044849496623455026,0.041666666666666664,0.003454802259887006,0.0625,0.053125,0.04198283334312747,0.8863242588702147,0.8552083333333333,0.05,0.0,0.0625,0.0,0.9375,0.0,0.0,0.0625
