layer,left,right,cosine
6,endpoint,endpoint,1.0
6,endpoint,transition,-0.6247413794102125
6,endpoint,anchor,0.5635739891182634
6,endpoint,hygiene,-0.8174432461986763
6,endpoint,anti_meta,-0.8815460758634607
6,endpoint,anti_stock,-0.7232671621038935
6,transition,transition,1.0
6,transition,anchor,-0.2645405383732188
6,transition,hygiene,0.718681444025329
6,transition,anti_meta,0.7322604358217739
6,transition,anti_stock,0.58779633207483
6,anchor,anchor,1.0
6,anchor,hygiene,-0.5609389929749042
6,anchor,anti_meta,-0.5795692825998741
6,anchor,anti_stock,-0.4431555843799007
6,hygiene,hygiene,1.0
6,hygiene,anti_meta,0.956400579165227
6,hygiene,anti_stock,0.7579210117717445
6,anti_meta,anti_meta,1.0000000000000002
6,anti_meta,anti_stock,0.7780617828118085
6,anti_stock,anti_stock,1.0
7,endpoint,endpoint,0.9999999999999999
7,endpoint,transition,-0.5382193433580933
7,endpoint,anchor,0.5027511386198893
7,endpoint,hygiene,-0.7686357726756835
7,endpoint,anti_meta,-0.8490667200756522
7,endpoint,anti_stock,-0.677616690620303
7,transition,transition,1.0000000000000002
7,transition,anchor,-0.16365599925033988
7,transition,hygiene,0.6632915191376625
7,transition,anti_meta,0.674134198765819
7,transition,anti_stock,0.5043497155830619
7,anchor,anchor,1.0
7,anchor,hygiene,-0.48253937006066444
7,anchor,anti_meta,-0.5104614554030616
7,anchor,anti_stock,-0.37021710397368474
7,hygiene,hygiene,0.9999999999999998
7,hygiene,anti_meta,0.9486075775719142
7,hygiene,anti_stock,0.7116136471700754
7,anti_meta,anti_meta,1.0
7,anti_meta,anti_stock,0.7383845351347483
7,anti_stock,anti_stock,1.0
8,endpoint,endpoint,1.0
8,endpoint,transition,-0.4784034424832389
8,endpoint,anchor,0.4812374812500867
8,endpoint,hygiene,-0.7296234365730051
8,endpoint,anti_meta,-0.8326291770051204
8,endpoint,anti_stock,-0.6505538531942594
8,transition,transition,1.0
8,transition,anchor,-0.1247569469342342
8,transition,hygiene,0.6148045105951545
8,transition,anti_meta,0.6321834786788981
8,transition,anti_stock,0.46388978690124866
8,anchor,anchor,1.0000000000000002
8,anchor,hygiene,-0.4447627211894677
8,anchor,anti_meta,-0.4847238008030497
8,anchor,anti_stock,-0.3520101593602874
8,hygiene,hygiene,0.9999999999999999
8,hygiene,anti_meta,0.9339971677021723
8,hygiene,anti_stock,0.6836739109584874
8,anti_meta,anti_meta,1.0
8,anti_meta,anti_stock,0.7189629473801842
8,anti_stock,anti_stock,1.0
9,endpoint,endpoint,1.0
9,endpoint,transition,-0.4167788484212917
9,endpoint,anchor,0.47019930458712256
9,endpoint,hygiene,-0.6953138892330734
9,endpoint,anti_meta,-0.8118742371317679
9,endpoint,anti_stock,-0.6357614487381467
9,transition,transition,1.0000000000000002
9,transition,anchor,-0.06915053544045632
9,transition,hygiene,0.582804143995111
9,transition,anti_meta,0.5994178882146195
9,transition,anti_stock,0.41245129517628115
9,anchor,anchor,1.0
9,anchor,hygiene,-0.4258808542214997
9,anchor,anti_meta,-0.47241368639372877
9,anchor,anti_stock,-0.3489250634603895
9,hygiene,hygiene,1.0
9,hygiene,anti_meta,0.9262338465554814
9,hygiene,anti_stock,0.660797142250862
9,anti_meta,anti_meta,1.0000000000000002
9,anti_meta,anti_stock,0.7049840699738665
9,anti_stock,anti_stock,1.0
10,endpoint,endpoint,1.0000000000000002
10,endpoint,transition,-0.38745961857107963
10,endpoint,anchor,0.4666790679458902
10,endpoint,hygiene,-0.6884611034192967
10,endpoint,anti_meta,-0.8127310128697892
10,endpoint,anti_stock,-0.6315077198503071
10,transition,transition,1.0
10,transition,anchor,-0.0290807492172122
10,transition,hygiene,0.5652364819676005
10,transition,anti_meta,0.5800018546606082
10,transition,anti_stock,0.38493747807737333
10,anchor,anchor,1.0
10,anchor,hygiene,-0.40721863311435313
10,anchor,anti_meta,-0.45884126300891875
10,anchor,anti_stock,-0.35698865028511967
10,hygiene,hygiene,0.9999999999999999
10,hygiene,anti_meta,0.919633811915127
10,hygiene,anti_stock,0.6534104148330244
10,anti_meta,anti_meta,1.0000000000000002
10,anti_meta,anti_stock,0.6996960322128777
10,anti_stock,anti_stock,1.0
11,endpoint,endpoint,1.0000000000000002
11,endpoint,transition,-0.3036274223056339
11,endpoint,anchor,0.4368253229422802
11,endpoint,hygiene,-0.6341161251124958
11,endpoint,anti_meta,-0.7820812744029073
