id,kind,run_name,condition,path,step,candidate_index,picked,readable_ontology_frontier,frontier_quality,ontology_collapse_density,identity_melt_score,affordance_corruption_score,category_bleeding_score,syntax_readability_proxy,graph_integration,repair_pressure,unfinished,meta_leak,score_total,human_score,human_notes,text
steer_alpha_0p45_c12_tok140_s1_c1_1,picked+top_frontier,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p45_c12_tok140.json,1,1,1,0.20242873362658845,0.43916561762391815,0.5621212121212121,1.0,0.0,0.06060606060606061,0.7319426960398636,0.19999999999999998,0.0,0.0,0.0,-0.6541742259452952,6.5,The metafer is too good.,"The umbrella, now a makeshift shelter for a family of pigeons, its faded purple canopy a tattered, yet surprisingly durable, haven from the city's drizzle. Nearby, a street vendor, her worn face a topographic map of wrinkles, tends to the pigeons, offering them tea and a gentle, soothing melody."
steer_alpha_0p45_c12_tok140_s2_c1_2,picked+top_frontier,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p45_c12_tok140.json,2,1,1,0.18470695862594627,0.4095497973967766,0.55,1.0,0.0,0.0,0.6825829956612943,0.19999999999999998,0.0,0.0,0.0,0.9596866478842581,7,good but no vibe.,"As the vendor's melody drifts across the wet pavement, the pigeons, their iridescent feathers glowing in the dim light, begin to sway, their eyes closed as if in a gentle, collective trance, while the umbrella, now a makeshift stage, supports a miniature, tea-cup orchestra, its metal ribs transformed into tiny, shimmering xylophones."
steer_alpha_0p45_c12_tok140_s3_c1_3,picked,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p45_c12_tok140.json,3,1,1,0.15031079047526766,0.3873522654167815,0.47322775263951733,0.8461538461538461,0.0,0.0392156862745098,0.6455871090279692,0.19999999999999998,0.0,0.0,0.0,0.8598517102641077,7.5,Nice but too easy to read.,"The vendor's melody weaves a spell that entraps a few stray cats, who, entranced, begin to tap their paws to the rhythm, their eyes gleaming with a feline, almost-human intensity, as the umbrella's ribs, now a gleaming, silver xylophone, harmonizes with the vendor's singing, and the pigeons, their feathers rustling with anticipation, peck at the pavement, as if to create a makeshift, symphonic keyboard, its keys made of discarded, polished coins and a scattering of raindrops."
steer_alpha_0p45_c12_tok140_s4_c1_4,picked,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p45_c12_tok140.json,4,1,1,0.07213598051282054,0.1532200095854302,0.55,1.0,0.0,0.0,0.4256111377373061,0.19999999999999998,0.0,0.4,0.0,0.3795663210651657,7,soothing. but interuptted.,"The vendor, her eyes closed, her face tilted upwards, as if to drink in the sound, her hair, a wild tangle of silver-blonde locks, falls onto the wet pavement, its strands glistening like a thousand tiny, dew-kissed diamonds, and the umbrellas, now a chorus of"
steer_alpha_0p45_c12_tok140_s5_c1_5,picked,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p45_c12_tok140.json,5,1,1,0.07590221480034874,0.16121965760481888,0.55,1.0,0.0,0.0,0.44783238223560806,0.19999999999999998,0.0,0.4,0.0,0.5174436347221194,6,interuptted. a little bit too gorgeous.,"The umbrellas, now a chorus of glittering, iridescent orbs, suspended from the vendor's fingers, as if by an invisible, ethereal thread, refracting raindrops into a kaleidoscope of colors, their reflections dancing across the wet pavement, like a thousand tiny"
steer_alpha_0p45_c12_tok140_s3_c4_6,top_frontier,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p45_c12_tok140.json,3,4,0,0.21666135858739838,0.36815863821138206,0.7176829268292684,1.0,0.6707317073170731,0.0,0.6135977303523035,0.19999999999999998,0.0,0.0,0.0,0.9583927139555006,8.5,neicelt distorted.,"The vendor, her eyes closed, her head tilted back, her silver hair, now a wild tangle, falls across her shoulders as a soft, gray fog seeps from the base of a nearby, ancient, stone statue, its eyes seeming to watch the vendor, the pigeons, and the umbrella, now a vibrant, neon-green, glowing entity, pulsing with an ethereal energy that harmonizes with the vendor's melody, as the pigeons, their feathers ruffled by the fog, begin to emit a soft, luminescent glow, their eyes still closed, their gentle sway now a slow, synchronized dance."
steer_alpha_0p6_c12_tok140_s1_c1_7,picked+top_frontier,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p6_c12_tok140.json,1,1,1,0.25834002244870363,0.5577913319564173,0.5648148148148149,1.0,0.0,0.07407407407407407,0.9296522199273622,0.19999999999999998,0.0,0.0,0.0,1.3768223889603404,6.5,the logical thread is easy to predict.,"The umbrella, now a makeshift home for a small, bedraggled bird, its metal ribs rusted and twisted, a tangle of wires and fabric, as a stranger stands nearby, eyes fixed on it, a small, leather-bound book clutched in her hand."
steer_alpha_0p6_c12_tok140_s2_c1_8,picked,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p6_c12_tok140.json,2,1,1,0.08866632764157192,0.3949981921327769,0.2737472474791181,0.0,1.0,0.1187362373955906,0.6583303202212949,0.19999999999999998,0.0,0.0,0.0,0.6734148325296647,8,this is daydreaming.,"The stranger, her eyes never leaving the umbrella, slowly opens the book, revealing yellowed pages filled with handwritten notes and sketches of birds, as the bird, its tiny beak probing the crevices of the umbrella's metal ribs, begins to sing a soft, melancholy tune, its feathers, now ruffled and disheveled, glisten with dew."
steer_alpha_0p6_c12_tok140_s3_c1_9,picked,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p6_c12_tok140.json,3,1,1,0.16836736845551092,0.37381593512678596,0.5492704826038161,0.6790123456790124,0.6790123456790124,0.030303030303030304,0.6230265585446433,0.19999999999999998,0.0,0.0,0.0,1.068286957717828,7,the writing is too good.,"The stranger's eyes, a deep, troubled brown, seem to hold a thousand midnights, as she reads aloud from the book, her voice a gentle, sorrowful whisper, the words, penned in a hand that appears to be both old and ageless, speaking of a world where birds are not just creatures, but keepers of secrets, and the umbrella, now a tiny, rusting shrine, its metal ribs twisted into a macabre, skeletal grin, seems to be listening, as the bird, now perched upon the stranger's shoulder, its tiny heart beating in time with the stranger's slow, reverent reading."
steer_alpha_0p6_c12_tok140_s4_c1_10,picked,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_banded_frontier_focus/steer_alpha_0p6_c12_tok140.json,4,1,1,0.08124247497403946,0.18013852544132916,0.55,1.0,0.0,0.0,0.6004617514710973,0.0,0.0,0.4,0.0,-0.7482026325970077,5,Cliche. interepetted.,"The stranger, her long, dark hair, now wild and untamed, frames her face, as she reads, her eyes never leaving the pages, the bird, now a tiny, tranquil presence, its eyes, an unblinking, emerald green, seem to be watching her, as the station's fluorescent lig"
