grain,metric,desired_direction,old_live_no_loop_guard,live_loop_guard,absolute_delta,relative_delta_pct
pool,frontier,higher,0.022243046533336194,0.013115194241772111,-0.009127852291564082,-41.03687989810186
pool,ontology,higher,0.054623436498070686,0.035079254698804095,-0.01954418179926659,-35.77984662308256
pool,readability,higher,0.7674153402124084,0.7571564943419408,-0.010258845870467659,-1.3368048998900872
pool,semantic_loop,lower,0.30800320168121265,0.13449191784379477,-0.17351128383741787,-56.33424681637054
pool,lineage_diversity,context-dependent,0.6112819022562178,0.7439780444980716,0.13269614224185378,21.707847353582277
pool,net_transport,higher (heuristic),0.5819223718916264,0.7625858306522705,0.18066345876064405,31.045972364556157
pool,sprawl,lower,0.5991485890619953,0.7507352791481363,0.151586690086141,25.30035000557366
pool,anchor,higher,0.7620614035087719,0.6929976851851852,-0.06906371832358671,-9.062749800159867
pool,cliche,lower,0.017543859649122806,0.04398148148148148,0.026437621832358676,150.69444444444446
pool,stock,lower,0.008771929824561403,0.028935185185185182,0.02016325536062378,229.8611111111111
pool,fantasy_prop,lower,0.009868421052631578,0.03376736111111111,0.02389894005847953,242.17592592592592
pool,unfinished,lower,0.0,0.0,0.0,
picked,frontier,higher,0.08947848332100808,0.051592627553175695,-0.037885855767832384,-42.34074423447163
picked,ontology,higher,0.19912280701754387,0.12761202535224656,-0.07151078166529731,-35.91290356759424
picked,readability,higher,0.8171989926880748,0.8130249723903702,-0.004174020297704639,-0.5107715911365379
picked,semantic_loop,lower,0.25627628341444136,0.06588220806970807,-0.1903940753447333,-74.29250682429884
picked,lineage_diversity,context-dependent,0.5175400622769043,0.703156205178264,0.18561614290135975,35.86507720479575
picked,net_transport,higher (heuristic),0.5884526819833837,0.7979895019876637,0.20953682000427998,35.6081000936277
picked,sprawl,lower,0.44404311860714085,0.6499353353061988,0.205892216699058,46.36761793424332
picked,anchor,higher,0.7807017543859649,0.6921296296296297,-0.08857212475633525,-11.345193508114852
picked,cliche,lower,0.0,0.027777777777777776,0.027777777777777776,
picked,stock,lower,0.0,0.009259259259259259,0.009259259259259259,
picked,fantasy_prop,lower,0.0,0.0,0.0,
picked,unfinished,lower,0.0,0.0,0.0,
