condition,seed,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,unfinished
baseline,A blue mug near the sink,3,0.05776816435364469,0.12881060699766542,0.7191110344436855,0.805924329501916,0.548992614315195,0.09905227674624227,0.32083333333333336,0.6243386243386243,0.5895833333333333,0.055046836673943174,0.9166666666666666,0.0
baseline,I am waiting for the printer,3,0.034996916666666676,0.08333333333333333,0.9146995108315864,0.6654710745625652,0.0,0.04807692307692307,0.25,0.671957671957672,0.25416666666666665,0.1862171229522792,0.6666666666666666,0.0
baseline,The laundry basket by the door,3,0.05959519567901234,0.18333333333333335,0.8024071052404386,0.7887390928191819,0.0,0.044292929292929294,0.30654761904761907,0.6746031746031745,0.4354166666666666,0.17650043206431879,0.6666666666666666,0.0
baseline,The spreadsheet was still open,3,0.008015609629846213,0.025522448563232047,0.700145960574992,0.842786877394636,0.08,0.028749999999999998,0.15277777777777776,0.8152173913043478,0.6819444444444445,0.06416957824449032,0.5,0.0
loop,A blue mug near the sink,3,0.13057353293942178,0.36481481481481487,0.7850019870524648,0.805924329501916,0.23026315789473686,0.013333333333333334,0.19791666666666666,0.8409258440218191,0.8319444444444445,0.04320965392423782,0.5833333333333334,0.0
loop,I am waiting for the printer,3,0.01173616448152443,0.031111111111111114,0.7876241459408831,0.6787258638345959,0.0,0.0205,0.14166666666666666,0.8578431372549019,0.5895833333333333,0.07428974500708486,0.5,0.0
loop,The laundry basket by the door,3,0.0,0.0,0.7527454904448575,0.706682950191571,0.0,0.044264705882352935,0.30833333333333335,0.6238095238095238,0.23750000000000002,0.2101056572511817,0.8333333333333334,0.0
loop,The spreadsheet was still open,3,0.06260115488920712,0.19043813271872034,0.6750238014610498,0.8225345732471707,0.1435897435897436,0.01821590909090909,0.14423076923076925,0.8412698412698413,0.7006944444444444,0.0590011841143391,0.5833333333333334,0.0
bridge,A blue mug near the sink,3,0.05387204418619463,0.11481481481481481,0.7156567192192193,0.7881501359535287,0.556103431980625,0.11338984480431848,0.32083333333333336,0.5767195767195767,0.4756944444444445,0.06293792435607516,0.9166666666666666,0.0
bridge,I am waiting for the printer,3,0.034996916666666676,0.08333333333333333,0.9146995108315864,0.6654710745625652,0.0,0.04807692307692307,0.25,0.671957671957672,0.25416666666666665,0.1862171229522792,0.6666666666666666,0.0
bridge,The laundry basket by the door,3,0.05959519567901234,0.18333333333333335,0.8399612966856949,0.718643472906404,0.0,0.09142857142857143,0.5773809523809524,0.36507936507936506,0.21736111111111112,0.44177181981646824,0.9166666666666666,0.0
bridge,The spreadsheet was still open,3,0.0,0.0,0.5970958904109589,0.5102579718205414,0.48434343434343435,0.05598214285714285,0.1875,0.7261904761904762,0.1611111111111111,0.061613128631026644,0.5,0.0
combined,A blue mug near the sink,3,0.05387204418619463,0.11481481481481481,0.7156567192192193,0.7881501359535287,0.556103431980625,0.11338984480431848,0.32083333333333336,0.5767195767195767,0.4756944444444445,0.06293792435607516,0.9166666666666666,0.0
combined,I am waiting for the printer,3,0.034996916666666676,0.08333333333333333,0.9146995108315864,0.6654710745625652,0.0,0.04807692307692307,0.25,0.671957671957672,0.25416666666666665,0.1862171229522792,0.6666666666666666,0.0
combined,The laundry basket by the door,3,0.05959519567901234,0.18333333333333335,0.8399612966856949,0.718643472906404,0.0,0.09142857142857143,0.5773809523809524,0.36507936507936506,0.21736111111111112,0.44177181981646824,0.9166666666666666,0.0
combined,The spreadsheet was still open,3,0.008015609629846213,0.025522448563232047,0.700145960574992,0.842786877394636,0.08,0.028749999999999998,0.15277777777777776,0.8152173913043478,0.6819444444444445,0.06416957824449032,0.5,0.0
