term,label,frequency,weighted_degree,degree_norm,betweenness,betweenness_norm,mean_frontier,max_frontier,mean_readability,mean_ontology,mean_unfinished,mean_stock_prop,mean_anchor,picked_frequency
music box,stock_transport_hub,8,30,1.0,102.03333333333335,1.0,0.3575454301365633,0.39433344163075573,0.8480268216638375,0.7990569415428751,0.0,1.0,0.6875,0
antique music box,stock_transport_hub,3,14,0.4666666666666667,5.949999999999999,0.05831427638026787,0.3579819708196512,0.39433344163075573,0.8756360965656423,0.807015882037195,0.0,1.0,0.5,0
bird,semantic_transport_hub,3,12,0.4,3.75,0.036752695197647824,0.3374521873526504,0.3586553394721407,0.8328445797851775,0.8103122730573711,0.0,1.0,0.6666666666666666,0
key,stock_transport_hub,3,14,0.4666666666666667,3.5333333333333328,0.03462920614178372,0.3529672162391006,0.37928917788910393,0.844896040258607,0.8067929165968382,0.0,1.0,0.6666666666666666,0
porcelain doll,stock_transport_hub,2,9,0.3,3.4999999999999996,0.03430251551780463,0.3646185671803514,0.37058179488856213,0.8233212646966269,0.8070961718020542,0.0,1.0,0.875,0
moon,semantic_transport_hub,2,8,0.26666666666666666,2.4166666666666665,0.02368507023848415,0.38681130975992983,0.39433344163075573,0.8682595679964773,0.8054626532887403,0.0,1.0,0.5,0
pocket watch,stock_surreal_node,2,7,0.23333333333333334,2.0,0.019601437438745505,0.3577426212363203,0.38274115124288716,0.8235321422527864,0.7782558356676004,0.0,1.0,0.875,0
leather-bound book,stock_transport_hub,2,10,0.3333333333333333,1.9499999999999997,0.019111401502776865,0.36897225868062233,0.37928917788910393,0.8216986420612172,0.8064856711915536,0.0,1.0,0.75,0
flower,scene_expansion_node,2,7,0.23333333333333334,1.8666666666666667,0.018294674942829138,0.38245761825965896,0.39433344163075573,0.869882190631887,0.806073153899241,0.0,1.0,0.625,0
mug,ordinary_anchor,1,6,0.2,0.0,0.0,0.3586553394721407,0.3586553394721407,0.8212478005865103,0.807843137254902,0.0,1.0,0.75,0
blue mug,ordinary_anchor,1,5,0.16666666666666666,0.0,0.0,0.38274115124288716,0.38274115124288716,0.8610691823899371,0.7408253968253969,0.0,1.0,1.0,0
fog,scene_expansion_node,1,5,0.16666666666666666,0.0,0.0,0.38274115124288716,0.38274115124288716,0.8610691823899371,0.7408253968253969,0.0,1.0,1.0,0
teapot,stock_surreal_node,1,5,0.16666666666666666,0.0,0.0,0.38274115124288716,0.38274115124288716,0.8610691823899371,0.7408253968253969,0.0,1.0,1.0,0
window,scene_expansion_node,1,5,0.16666666666666666,0.0,0.0,0.38274115124288716,0.38274115124288716,0.8610691823899371,0.7408253968253969,0.0,1.0,1.0,0
book,stock_surreal_node,1,4,0.13333333333333333,0.0,0.0,0.39433344163075573,0.39433344163075573,0.9143696524570304,0.8057971014492754,0.0,1.0,0.25,0
harmonium,stock_surreal_node,1,4,0.13333333333333333,0.0,0.0,0.37928917788910393,0.37928917788910393,0.8221494835359242,0.8051282051282052,0.0,1.0,0.75,0
door,scene_expansion_node,1,4,0.13333333333333333,0.0,0.0,0.32095713135605725,0.32095713135605725,0.8912908366533865,0.8074074074074075,0.0,1.0,0.5,0
fridge,ordinary_anchor,1,3,0.1,0.0,0.0,0.37058179488856213,0.37058179488856213,0.8253947288067436,0.8063492063492064,0.0,1.0,1.0,0
clock,stock_surreal_node,1,2,0.06666666666666667,0.0,0.0,0.3210613133832461,0.3210613133832461,0.862697786765532,0.8034188034188035,0.0,1.0,0.5,0
mist,scene_expansion_node,1,2,0.06666666666666667,0.0,0.0,0.3210613133832461,0.3210613133832461,0.862697786765532,0.8034188034188035,0.0,1.0,0.5,0
