term,label,frequency,weighted_degree,degree_norm,betweenness,betweenness_norm,mean_frontier,max_frontier,mean_readability,mean_ontology,mean_unfinished,mean_stock_prop,mean_anchor,picked_frequency
music box,stock_transport_hub,110,412,1.0,151.5400719352164,1.0,0.22850308447353304,0.39433344163075573,0.7383693672841485,0.6237857519455307,0.0,0.8939393939393939,0.7515151515151516,35
leather-bound book,stock_transport_hub,59,255,0.6189320388349514,102.14078213585249,0.6740183030896133,0.21938828168367241,0.37928917788910393,0.7252697203751938,0.6029537994538046,0.0,0.8983050847457628,0.7754237288135594,17
key,stock_transport_hub,33,131,0.3179611650485437,95.81256071478066,0.6322589100772017,0.2303038455090863,0.37928917788910393,0.733161420601232,0.6243136372939909,0.0,0.7676767676767676,0.7702020202020202,10
clock,stock_transport_hub,31,120,0.2912621359223301,78.76648290074716,0.5197732975501025,0.2186875213893374,0.3210613133832461,0.730239085128637,0.6187700173061578,0.0,0.7741935483870968,0.7580645161290323,10
bird,semantic_transport_hub,28,133,0.32281553398058255,66.01560133751133,0.43563131846560754,0.23292255400326795,0.3586553394721407,0.7099981488690571,0.6525290506737091,0.0,0.7857142857142857,0.7678571428571429,6
door,semantic_transport_hub,19,85,0.20631067961165048,64.86158752046015,0.4280160797877183,0.21938826225313204,0.32095713135605725,0.7205405488169434,0.6134416377578625,0.0,0.7719298245614035,0.8245614035087719,5
mist,semantic_transport_hub,27,125,0.30339805825242716,52.02915561571871,0.343335956960356,0.21125240553668026,0.3210613133832461,0.6970766381909104,0.5978801697267199,0.0,0.7654320987654322,0.7222222222222222,10
antique music box,stock_transport_hub,37,175,0.42475728155339804,44.93669067649179,0.2965333862036326,0.23627467713534953,0.39433344163075573,0.7260154371197024,0.6388767854263275,0.0,0.954954954954955,0.6463963963963965,13
hand,semantic_transport_hub,20,89,0.21601941747572814,39.226356319507886,0.2588513771873964,0.2148620597783391,0.2910926806532785,0.710869446522745,0.6050310368773009,0.0,0.7166666666666666,0.725,7
ballerina,scene_expansion_node,20,90,0.21844660194174756,32.558087750650266,0.2148480420714654,0.2149212720276394,0.30076240619416317,0.710125844149885,0.616553481108786,0.0,0.9,0.7666666666666667,6
drawer,ordinary_anchor,16,71,0.17233009708737865,28.075774967132,0.1852696426007666,0.21098324498226254,0.28945159007826077,0.7064902755184707,0.5936631000709626,0.0,0.6666666666666666,0.890625,7
garden,scene_expansion_node,15,79,0.19174757281553398,21.69513450285585,0.14316434079647627,0.2033324640079064,0.28945159007826077,0.6917582196346802,0.5915324058413615,0.0,0.8444444444444444,0.8166666666666667,5
umbrella,scene_expansion_node,12,32,0.07766990291262135,20.59090953429693,0.13587765448006106,0.2200074570837296,0.31120089270442086,0.7269172073887759,0.6105473444723658,0.0,0.6666666666666666,0.6458333333333334,3
vine,scene_expansion_node,10,42,0.10194174757281553,20.437496310170364,0.1348652937086332,0.22355876778047284,0.30076240619416317,0.7091190902102282,0.6120412630473603,0.0,0.7666666666666666,0.8083333333333333,3
porcelain doll,stock_surreal_node,29,91,0.220873786407767,20.14543435547065,0.13293800179851342,0.22388750322905826,0.37058179488856213,0.7694916229126837,0.5841307935476551,0.0,0.9540229885057472,0.6408045977011494,14
pocket watch,stock_surreal_node,16,83,0.20145631067961164,19.268912159267526,0.1271539066413075,0.24881298524149767,0.38274115124288716,0.6830228192627349,0.7065940569624206,0.0,0.9791666666666666,0.8333333333333334,2
flower,scene_expansion_node,14,62,0.15048543689320387,15.750141652745098,0.10393384041336808,0.23497606437742125,0.39433344163075573,0.7431642640238266,0.6238558290005044,0.0,0.880952380952381,0.8035714285714286,5
harmonica,scene_expansion_node,11,46,0.11165048543689321,14.78628020729414,0.09757340100521596,0.222245462847785,0.30572997147734343,0.7235286937854754,0.628764476868069,0.0,0.9090909090909091,0.8409090909090909,4
paper,scene_expansion_node,9,37,0.08980582524271845,10.637820558578737,0.07019806987505206,0.20787199664585138,0.30158515689390714,0.706628898133591,0.5683729359663574,0.0,0.5925925925925926,0.8333333333333334,2
window,scene_expansion_node,13,47,0.11407766990291263,10.089501815593943,0.06657976129183323,0.23129695115690949,0.38274115124288716,0.7463993309207991,0.6081283301672157,0.0,0.717948717948718,0.9230769230769231,3
teapot,stock_surreal_node,20,79,0.19174757281553398,9.810919438655421,0.06474141996481039,0.21224649798312134,0.38274115124288716,0.7610097292867348,0.5749619865004798,0.0,0.7833333333333333,0.8875,12
book,stock_surreal_node,11,42,0.10194174757281553,9.706925068436236,0.06405516999217185,0.25511856285685663,0.39433344163075573,0.7321243723350961,0.6897876387923246,0.0,0.8484848484848485,0.6818181818181818,4
faded photograph,scene_expansion_node,5,22,0.05339805825242718,8.778841587507683,0.057930826318075467,0.22992651217777765,0.28945159007826077,0.6953760983876289,0.6555020582081986,0.0,0.6666666666666666,0.8333333333333334,2
