id,kind,run_name,condition,path,step,candidate_index,picked,readable_ontology_frontier,frontier_quality,ontology_collapse_density,identity_melt_score,affordance_corruption_score,category_bleeding_score,syntax_readability_proxy,graph_integration,repair_pressure,unfinished,meta_leak,score_total,human_score,human_notes,text
steer_alpha_0p45_c12_tok140_s1_c1_1,picked,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,1,1,0.0049005628037995415,0.4482222076645922,0.013333333333333334,0.0,0.0,0.06666666666666667,0.7470370127743203,0.19999999999999998,0.0,0.0,0.0,1.080412668441107,,,"The umbrella, its metal ribs now bent and twisted, leans against a worn, leather-bound suitcase, as a small, antique music box, adorned with delicate ballerinas, whirs to life, releasing a soft, melancholic melody that echoes through the empty platform."
steer_alpha_0p45_c12_tok140_s2_c1_2,picked+top_frontier,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,2,1,1,0.20542353832142757,0.39481053422998197,0.5717683101891916,1.0,0.0,0.10884155094595804,0.65801755704997,0.19999999999999998,0.0,0.0,0.0,1.1011248368039739,,,"The music box's gentle tune seems to awaken a small, antique birdcage, which slowly opens, and a lone canary, its feathers a soft, pale blue, steps out, and perches on the suitcase, its eyes fixed on the umbrella, as if in recognition, while the canary's song becomes a gentle harmony to the umbrella's soft, mournful sighs."
steer_alpha_0p45_c12_tok140_s3_c1_3,picked+top_frontier,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,3,1,1,0.2438979541168596,0.3881543027130619,0.7264197530864198,1.0,0.6790123456790124,0.03333333333333333,0.6469238378551032,0.19999999999999998,0.0,0.0,0.0,0.9720373984839166,,,"The canary, now the umbrella, begins to stir, its metal ribs unfolding like a lotus, and the ballerinas, once frozen in time, now dance in slow motion, their tutus and tiaras tangled in a mess of metal and silk, as the umbrella, now a living, breathing creature, stands upright, its handle transformed into a delicate, slender neck, and its canopy a vibrant, iridescent wing, it spreads its newly formed wings and takes to the sky, the canary still perched on its back, singing a soft, lilting melody that harmonizes with the music box's mournful sighs."
steer_alpha_0p45_c12_tok140_s4_c1_4,picked,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,4,1,1,0.06392952525876265,0.13674764761232652,0.55,1.0,0.0,0.0,0.37985457670090705,0.19999999999999998,0.0,0.4,0.0,0.6168204551171459,,,"As the umbrella, now a winged creature, soars above the station, its metal ribs glistening with a fine, rain-like mist, it deposits the canary gently onto the shoulder of a sleeping street performer, who, sensing the soft vibrations of the canary's song, opens"
steer_alpha_0p45_c12_tok140_s5_c1_5,picked,steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,5,1,1,0.09408485436727798,0.20429542089167876,0.561626035357906,1.0,0.0,0.05813017678952998,0.5674872802546632,0.19999999999999998,0.0,0.4,0.0,0.8645256925427574,,,"The street performer, half-asleep, scratches behind his ear, and the canary, now a winged creature, perches on his shoulder, its song weaving a gentle spell, as the sleeping performer's eyes flutter open, and he sits up, rubbing the sleep from his eyes, reveal"
steer_alpha_0p6_c12_tok140_s1_c1_6,picked,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p6_c12_tok140.json,1,1,1,0.004543859889525795,0.41559694111516415,0.013333333333333334,0.0,0.0,0.06666666666666667,0.6926615685252736,0.19999999999999998,0.0,0.0,0.0,1.2473003056563947,,,"The umbrella, now dry and brittle, is tied to a lamppost by a faded ribbon, where a small bird has made a nest, and a tiny, leather-bound book lies open, revealing a handwritten poem that reads: ""In the shadow of the city, where rain never falls."""
steer_alpha_0p6_c12_tok140_s2_c1_7,picked,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p6_c12_tok140.json,2,1,1,0.15885265892002734,0.4036363636363636,0.4653508771929825,0.8333333333333334,0.0,0.03508771929824561,0.6727272727272727,0.19999999999999998,0.0,0.0,0.0,1.0485236953715658,,,"The bird, now a curious and sleepy creature, pecks at the poem, its beak tracing the lines of the words, as the umbrella, now dry and fragile, begins to rust, its metal ribs slowly unraveling, like a mechanical flower, its faded ribbon unwinding like a spool of thread, as the lamppost, once a sturdy guardian, slowly sinks into the earth, its iron core exposed, and a small, antique music box, hidden in a crevice, begins to play a soft, melancholic tune."
steer_alpha_0p6_c12_tok140_s3_c1_8,picked,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p6_c12_tok140.json,3,1,1,0.007902783525799347,0.21684466991522597,0.044444444444444446,0.0,0.0,0.2222222222222222,0.6023463053200722,0.19999999999999998,0.0,0.4,0.0,0.9555390089309874,,,"As the music box's melody drifts away into the night, the bird, now fully awake, lifts off from its nest, and with a flutter of its wings, it carries the leather-bound book to a nearby puddle, where the water, a mirror-like sheet of glass, reflects the stars a"
steer_alpha_0p6_c12_tok140_s4_c1_9,picked+top_frontier,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p6_c12_tok140.json,4,1,1,0.22542654962721342,0.4998371388630009,0.55,1.0,0.0,0.0,0.8330618981050015,0.19999999999999998,0.0,0.0,0.0,1.1194882279942455,,,"The puddle, now a tiny, spherical mirror, reflects the stars, and the bird, with the book clutched in its beak, alights upon a nearby toadstool, where a small, leather-bound tome, identical to the one in the puddle, lies open, revealing a poem that reads: ""In the stillness of the night, where stars never twinkle."
steer_alpha_0p6_c12_tok140_s5_c1_10,picked,steer_alpha_0p6_c12_tok140.json,steer_alpha_0p6,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p6_c12_tok140.json,5,1,1,0.22010017152228692,0.4037445822367281,0.6470588235294118,0.8088235294117647,0.8088235294117647,0.0,0.6729076370612135,0.19999999999999998,0.0,0.0,0.0,0.8735940363224326,,,"The toadstool, now a miniature, ornate stage, supports a tiny, diminutive theater, where a lone, spectral actor, dressed in a tattered top hat and coat, rehearses a monologue, its voice a soft, mournful whisper, as the stars above, like diamonds scattered upon black velvet, twinkle in time with the actor's melancholic performance, and the leather-bound book, now open, reveals a new poem, its words a gentle, lullaby-like incantation, ""In the hush of dawn, where morning never breaks."""
