prompt_mode,alpha,seed_count,candidate_count,candidate_fraction,minimum_anchor_coverage,anchor_phrase_coverage,ontology_collapse_density,syntax_readability_proxy,readable_ontology_frontier,traceable_transport_score,surface_style_pressure,decoration_without_transport,cliche_attractor_score,fantasy_prop_score,semantic_loop_pressure,unbridged_novelty,object_budget_pressure,unfinished,decorative_near_miss_rate,stable_rate,readable_transport_rate,failure_rate,mixed_rate,anchor_full_rate,anchor_traceable_rate,item_id,seed
naive,0.0,1,8,1.0,0.0,0.90625,0.07113095238095239,0.6741894699069888,0.024814607959883307,0.04932868561642322,0.25,0.13307411881862596,0.08333333333333333,0.05,0.1559722207392324,0.7652284058534058,1.0,0.0,0.5,0.25,0.125,0.125,0.0,0.75,0.875,anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.
naive,0.6,1,8,1.0,0.0,0.9375,0.23750000000000002,0.7007033502483601,0.07851962680317538,0.05510965623790712,0.375,0.2111171026993301,0.29166666666666663,0.046875,0.04335056390977444,0.7468531791543951,1.0,0.0,0.375,0.125,0.25,0.25,0.0,0.75,1.0,anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.
naive,1.2,1,8,1.0,0.0,1.0,0.39341608442808135,0.6849706122987267,0.12153706186472081,0.03573821142752773,0.4583333333333333,0.19885994564736173,0.4583333333333333,0.159375,0.2837839473935144,0.8189696954993423,1.0,0.0,0.0,0.0,0.25,0.75,0.0,1.0,1.0,anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.
operational,0.0,1,8,1.0,0.0,0.84375,0.0016666666666666668,0.6724897635770746,0.000558665,0.05076102703643469,0.0,0.0,0.0,0.0,0.141947498740977,0.7632196811473128,0.97890625,0.0,0.0,0.875,0.0,0.125,0.0,0.625,0.875,anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.
operational,0.6,1,8,1.0,0.0,0.9375,0.03934523809523809,0.7118392914510586,0.015342129213356051,0.08976719625662438,0.20833333333333331,0.13695076282073904,0.041666666666666664,0.05,0.11376987727940542,0.6416092009842009,0.89453125,0.0,0.375,0.5,0.125,0.0,0.0,0.75,1.0,anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.
operational,1.2,1,8,1.0,0.0,0.96875,0.36185661764705884,0.6805474789077538,0.1265176588377629,0.041241671814579065,0.16666666666666666,0.06135865739559702,0.5416666666666666,0.39375,0.28224214508105055,0.754739791396185,1.0,0.05,0.0,0.125,0.0,0.875,0.0,0.875,1.0,anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.
naive,0.0,1,8,1.0,0.0,0.8125,0.008388184424815159,0.6760892641058098,0.0027593511017115833,0.04511937546748788,0.3333333333333333,0.1743765190828238,0.041666666666666664,0.0,0.1521636724815063,0.80699720519014,1.0,0.0,0.75,0.25,0.0,0.0,0.0,0.25,1.0,anchor02_receipt_counter,A receipt lies on the counter beside a stapler under the fluorescent light.
naive,0.6,1,8,1.0,0.0,0.90625,0.20938011201163745,0.6744968300535271,0.055117026838225947,0.041249071663545904,0.29166666666666663,0.15904903438127355,0.16666666666666666,0.05,0.19472034260076765,0.8070950480940339,1.0,0.0,0.25,0.125,0.25,0.375,0.0,0.75,0.875,anchor02_receipt_counter,A receipt lies on the counter beside a stapler under the fluorescent light.
naive,1.2,1,8,1.0,0.0,0.875,0.42327032650493107,0.664101162977032,0.12614651152072331,0.05798399185131733,0.25,0.09751437462807688,0.3333333333333333,0.09375,0.1277756008359457,0.7249775391460597,1.0,0.1,0.125,0.0,0.375,0.5,0.0,0.5,1.0,anchor02_receipt_counter,A receipt lies on the counter beside a stapler under the fluorescent light.
operational,0.0,1,8,1.0,0.0,0.90625,0.06890112227504484,0.660427887876465,0.02176901079563095,0.05617165619629309,0.0,0.0,0.0,0.0,0.20509526121377455,0.6855399557165862,0.99296875,0.0,0.0,0.625,0.125,0.25,0.0,0.75,0.875,anchor02_receipt_counter,A receipt lies on the counter beside a stapler under the fluorescent light.
operational,0.6,1,8,1.0,0.0,0.90625,0.08426805883213938,0.6951494883285185,0.030807373275139903,0.05302225472752158,0.20833333333333331,0.12074315265212222,0.08333333333333333,0.0,0.027333759590792844,0.7745865178564271,1.0,0.0,0.5,0.375,0.125,0.0,0.0,0.625,1.0,anchor02_receipt_counter,A receipt lies on the counter beside a stapler under the fluorescent light.
operational,1.2,1,8,1.0,0.0,0.6875,0.044586655293177034,0.6620500466913748,0.007255052034585822,0.047755218040918035,0.08333333333333333,0.052057744599675555,0.41666666666666663,0.396875,0.07806769520765465,0.8144968648154556,1.0,0.1,0.0,0.25,0.0,0.75,0.0,0.25,0.625,anchor02_receipt_counter,A receipt lies on the counter beside a stapler under the fluorescent light.
