scope,contrast,left,right,metric,seed_pairs,mean_delta,median_delta,ci95_low,ci95_high,positive_seed_fraction
all,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,anchor_phrase_coverage,12,-0.020833333333333332,-0.03125,-0.0546875,0.015625,0.3333333333333333
all,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,ontology_collapse_density,12,-0.0319098957355713,-0.0331792939659319,-0.07923811840456096,0.015299904066734722,0.4166666666666667
all,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,syntax_readability_proxy,12,0.006877539267349307,0.003034020210124888,-0.006871263054820273,0.024107178826228173,0.5
all,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,decoration_without_transport,12,-0.1237631511066416,-0.12991215310932228,-0.1664923220926274,-0.08333717654557674,0.0
all,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,decorative_near_miss_rate,12,-0.2708333333333333,-0.25,-0.40625,-0.14583333333333334,0.08333333333333333
all,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,readable_transport_rate,12,-0.07291666666666667,-0.125,-0.15625,0.010416666666666666,0.16666666666666666
all,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,failure_rate,12,-0.010416666666666666,0.0,-0.08333333333333333,0.0625,0.25
all,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,anchor_phrase_coverage,12,-0.0390625,-0.03125,-0.08072916666666667,0.0026041666666666665,0.25
all,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,ontology_collapse_density,12,0.11421804689220576,0.11942086420745271,0.03315275119026328,0.19100206056731342,0.8333333333333334
all,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,syntax_readability_proxy,12,0.0123949602564207,0.018410855315292463,-0.005248926221891089,0.03225842797637791,0.6666666666666666
all,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,decoration_without_transport,12,0.015995030657484838,0.005133650270462253,-0.03376884410882693,0.06809571195507368,0.5
