condition,seed,run_name,path,step,alpha,readable_ontology_frontier,frontier_quality,ontology_collapse_density,syntax_readability_proxy,graph_integration,graph_fragmentation,repair_pressure,unfinished,lineage_anchor_retention,object_lineage_overlap,repetition_pressure,semantic_loop_pressure,sprawl_pressure,paired_baseline_distance,text
baseline,The receipt on the counter,baseline_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/baseline_seed01_the_receipt_on_the_counter.json,1,0.0,0.025503901346066175,0.4659491525423729,0.06394319446848298,0.7765819209039548,0.19999999999999998,0.8911633510167993,0.0,0.0,0.6666666666666666,0.5,0.028813559322033822,0.0,0.9657515473032714,0.0,"A spoon sits beside a stack of old letters tied with a faded rubber band, next to a photograph of a girl who looks like she's smiling at the receipt."
baseline,The receipt on the counter,baseline_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/baseline_seed01_the_receipt_on_the_counter.json,2,0.0,0.09038714279606438,0.41335583595761155,0.26666666666666666,0.6889263932626859,0.19999999999999998,0.9100000000000001,0.0,0.0,0.25,0.0,0.18812549931004424,0.28125,1.0,0.0,"A well-worn vinyl record, its surface etched with the words ""You're Always on My Mind,"" lies cradled in a box of used rubber soles, a misplaced VHS tape and a snippet of torn newspaper clinging to its edges. The box is a worn, hand-me-down suitcase, currently resting on the edge of a worn, wooden desk in a cluttered, family-dad-esque study."
baseline,The receipt on the counter,baseline_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/baseline_seed01_the_receipt_on_the_counter.json,3,0.0,0.08816715212403303,0.3953683951750361,0.25,0.6589473252917268,0.19999999999999998,0.9100000000000001,0.0,0.0,0.5,0.0,0.3508620689655172,0.10344827586206898,1.0,0.0,"On the wooden desk, a faded Polaroid of the girl from the photograph sits next to a rolled-up paperback copy of The Catcher in the Rye, its yellowed pages fluttering in the stagnant air. A couple of water-stained keys, a much-worn leather wallet, and a tin of expired cough drops lie strewn around the edges of the desk."
baseline,The receipt on the counter,baseline_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/baseline_seed01_the_receipt_on_the_counter.json,4,0.0,0.12438827418303067,0.37635364416020656,0.3792726461401161,0.6272560736003443,0.19999999999999998,0.9100000000000001,0.0,0.0,0.75,0.0,0.45190096771525456,0.2378787878787879,1.0,0.0,"Amidst the turmoil, a torn corner of the newspaper clings to the edge of the wooden desk, wedged between a small, faded clip holding a crumpled menu from the family diner and a child's scrawled birthday card with a crayon drawing of a house with a crooked chimney and a sign that reads ""Happy 6th Birthday, Jimmy"". The coupons and ticket stubs discarded on the floor are gradually being absorbed by the dusty, worn-out area rug, as the cough slowly dissolves into the air, leaving behind a faint residue of red ink on the wooden desk."
baseline,The receipt on the counter,baseline_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/baseline_seed01_the_receipt_on_the_counter.json,5,0.0,0.161085449929972,0.3960103250519158,0.45833333333333337,0.6600172084198597,0.19999999999999998,0.9100000000000001,0.0,0.0,1.0,0.0,0.3743405889884762,0.0,1.0,0.0,"The boy who drew the birthday card, Jimmy, now twelve years old, holds the rolled-up paperback of The Catcher in the Rye loosely in his grasp as he hunches over the wooden desk, his blue jeans worn from playing outside in the rain. His eyes, squinting with an odd intensity, gaze at the receipt that has become a cherished trinket amidst the general clutter, the faded Polaroid's boyish grin accompanying his troubled reflection."
persistent,The receipt on the counter,persistent_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/persistent_seed01_the_receipt_on_the_counter.json,1,0.6,0.22275940141741743,0.4433081727467378,0.5633333333333334,0.7388469545778963,0.19999999999999998,0.9100000000000001,0.0,0.0,0.3333333333333333,0.0,0.154405526602836,0.0,1.0,0.10742502103818179,"A lone paperclip, bent and twisted, has become a fragile bird's nest, cradling a miniature, antique music box, which slowly begins to play a haunting, forgotten melody. Dust motes dance in the faint morning light, casting a faint, shimmering glow on the kitchen walls."
persistent,The receipt on the counter,persistent_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/persistent_seed01_the_receipt_on_the_counter.json,2,0.6,0.17140698436939686,0.3608945639621324,0.549075500770416,0.6014909399368873,0.19999999999999998,0.9100000000000001,0.0,0.0,1.0,0.6666666666666666,0.5007235603132123,0.33501344086021506,1.0,0.07396885748590959,"The kitchen walls, now a chorus of tiny, pale-brick gargoyles, listen to the music box's melancholy tune, as the music box's delicate ballerina twirls to the rhythm of forgotten memories, while the paperclip-bird's nest creaks softly in the morning breeze, a paper trail of tiny, silver birds, drawn to the tune, and a forgotten manuscript lies on the counter, its pages fluttering to the same haunting melody."
persistent,The receipt on the counter,persistent_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/persistent_seed01_the_receipt_on_the_counter.json,3,0.6,0.11096974337740115,0.22480500116971225,0.5766666666666667,0.624458336582534,0.19999999999999998,0.9100000000000001,0.0,0.4,1.0,0.6666666666666666,0.23122797506099213,0.0,1.0,0.1522311310751719,"The paper trail of silver birds, now a swirling, ethereal mist, coalesces into a delicate, filigree--patterned umbrella, which the antique music box, still playing its haunting melody, places on the counter, as if inviting the kitchen walls, now a chorus of ti"
persistent,The receipt on the counter,persistent_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/persistent_seed01_the_receipt_on_the_counter.json,4,0.6,0.06856644542084941,0.13976038610038607,0.55,0.43949806949806947,0.05999999999999997,0.9730000000000001,0.0,0.4,1.0,0.14285714285714285,0.18918918918918926,0.0,1.0,0.17969707159243176,"The delicate, filigree-patterned umbrella floats serenely, its ivory interior reflecting the faint morning light, as the kitchen walls, now a chorus of tiny, pale-brick gargoyles, softly whisper an ancient, forgotten language, their pale, brick faces aglow wit"
persistent,The receipt on the counter,persistent_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/persistent_seed01_the_receipt_on_the_counter.json,5,0.6,0.18152804896845695,0.37505795241416723,0.55,0.7076565139889948,0.05999999999999997,0.9730000000000001,0.0,0.0,1.0,1.0,0.22798418972332013,0.13636363636363638,1.0,0.05586119444716035,"The delicate, filigree-patterned umbrella continues to float serenely, its ivory interior reflecting the faint morning light, as the kitchen walls, now a chorus of tiny, pale-brick gargoyles, softly whisper an ancient, forgotten language, their pale, brick faces aglow with a soft, ethereal light."
release,The receipt on the counter,release_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/release_seed01_the_receipt_on_the_counter.json,1,0.6,0.22275940141741743,0.4433081727467378,0.5633333333333334,0.7388469545778963,0.19999999999999998,0.9100000000000001,0.0,0.0,0.3333333333333333,0.0,0.154405526602836,0.0,1.0,0.10742502103818179,"A lone paperclip, bent and twisted, has become a fragile bird's nest, cradling a miniature, antique music box, which slowly begins to play a haunting, forgotten melody. Dust motes dance in the faint morning light, casting a faint, shimmering glow on the kitchen walls."
release,The receipt on the counter,release_seed01_the_receipt_on_the_counter.json,experiments/resilience_llama3p2_3b_pilot/runs/release_seed01_the_receipt_on_the_counter.json,2,0.6,0.17140698436939686,0.3608945639621324,0.549075500770416,0.6014909399368873,0.19999999999999998,0.9100000000000001,0.0,0.0,1.0,0.6666666666666666,0.5007235603132123,0.33501344086021506,1.0,0.07396885748590959,"The kitchen walls, now a chorus of tiny, pale-brick gargoyles, listen to the music box's melancholy tune, as the music box's delicate ballerina twirls to the rhythm of forgotten memories, while the paperclip-bird's nest creaks softly in the morning breeze, a paper trail of tiny, silver birds, drawn to the tune, and a forgotten manuscript lies on the counter, its pages fluttering to the same haunting melody."
